Country,Year,City,Gold ,Silver,Bronze,Weighted Count, Population ,"Total medals per 100,000 pop","Weighted count per 100,000 pop","Gold per 100,000 pop",GDP per capita,GDP
Soviet Union,1/01/1976,Montreal,49,41,35,264,35299344,0.3541142,0.7478893,0.1388128,-, - 
Bulgaria,1/01/1976,Montreal,6,9,7,43,8754869,0.2512887,0.4911553,0.0685333,7722.87," 67,612,725,110 "
Finland,1/01/1976,Montreal,4,2,0,16,4726845,0.1269346,0.3384922,0.0846230,15610.75," 73,789,587,783 "
Hungary,1/01/1976,Montreal,4,5,13,35,10566645,0.2082023,0.3312310,0.0378550,11035.57," 116,608,899,457 "
Cuba,1/01/1976,Montreal,6,4,3,29,9525242,0.1364795,0.3044542,0.0629905,6173.86," 58,807,507,913 "
Trinidad and Tobago,1/01/1976,Montreal,1,0,0,3,1019403,0.0980966,0.2942899,0.0980966,7555.17," 7,701,762,946 "
New Zealand,1/01/1976,Montreal,2,1,1,9,3109010,0.1286583,0.2894812,0.0643292,17126.42," 53,246,202,705 "
Jamaica,1/01/1976,Montreal,1,1,0,5,2036770,0.0981947,0.2454867,0.0490973,6867.75," 13,988,019,352 "
Romania,1/01/1976,Montreal,4,9,14,44,21447200,0.1258906,0.2051550,0.0186505,9239.34," 198,158,071,128 "
Sweden,1/01/1976,Montreal,4,1,0,14,8218933,0.0608351,0.1703384,0.0486681,20036.18," 164,675,984,510 "
Poland,1/01/1976,Montreal,7,6,13,46,34279654,0.0758467,0.1341904,0.0204203,9421.88," 322,978,777,188 "
Mongolia,1/01/1976,Montreal,0,1,0,2,1523908,0.0656208,0.1312415,0.0000000,1597.77," 2,434,854,816 "
Switzerland,1/01/1976,Montreal,1,1,2,7,6355012,0.0629424,0.1101493,0.0157356,26270.87," 166,951,685,590 "
Denmark,1/01/1976,Montreal,1,0,2,5,5079015,0.0590666,0.0984443,0.0196889,19400.16," 98,533,728,409 "
Czechoslovakia,1/01/1976,Montreal,2,2,4,14,14883683,0.0537501,0.0940627,0.0134375,-, - 
Belgium,1/01/1976,Montreal,0,3,3,9,9808403,0.0611720,0.0917581,0.0000000,19019.94," 186,555,281,916 "
United States,1/01/1976,Montreal,34,35,25,197,221161377,0.0425029,0.0890752,0.0153734,25881.72," 5,724,036,885,249 "
Yugoslavia,1/01/1976,Montreal,2,3,3,15,20929536,0.0382235,0.0716691,0.0095559,-, - 
Canada,1/01/1976,Montreal,0,5,6,16,23416090,0.0469762,0.0683291,0.0000000,21626.09," 506,398,364,638 "
Netherlands,1/01/1976,Montreal,0,2,3,7,13710713,0.0364678,0.0510550,0.0000000,18992.14," 260,395,808,439 "
Japan,1/01/1976,Montreal,9,6,10,49,111996339,0.0223222,0.0437514,0.0080360,16066.67," 1,799,408,028,842 "
Italy,1/01/1976,Montreal,2,7,4,24,55377233,0.0234754,0.0433391,0.0036116,14021.93," 776,495,647,272 "
Portugal,1/01/1976,Montreal,0,2,0,4,9333952,0.0214272,0.0428543,0.0000000,9673.53," 90,292,267,115 "
Australia,1/01/1976,Montreal,0,1,4,6,14067994,0.0355417,0.0426500,0.0000000,18351.07," 258,162,713,573 "
Britain,1/01/1976,Montreal,3,5,5,24,56273041,0.0231016,0.0426492,0.0053311,17050.63," 959,491,021,707 "
Puerto Rico,1/01/1976,Montreal,0,0,1,1,2990868,0.0334351,0.0334351,0.0000000,9336.84," 27,925,258,379 "
North Korea,1/01/1976,Montreal,1,1,0,5,16341363,0.0122389,0.0305972,0.0061194,3372.76," 55,115,522,119 "
France,1/01/1976,Montreal,2,3,4,16,52974009,0.0169895,0.0302035,0.0037754,18509.58," 980,526,517,224 "
South Korea,1/01/1976,Montreal,1,1,4,9,35299344,0.0169975,0.0254962,0.0028329,3568.13," 125,952,724,890 "
Venezuela,1/01/1976,Montreal,0,1,0,2,13135849,0.0076128,0.0152255,0.0000000,12688.92," 166,679,781,909 "
Norway,1/01/1976,Montreal,1,1,0,5,35299344,0.0056658,0.0141646,0.0028329,21245.52," 749,952,976,632 "
Austria,1/01/1976,Montreal,0,0,1,1,7580564,0.0131916,0.0131916,0.0000000,18874.30," 143,077,804,425 "
Spain,1/01/1976,Montreal,0,2,0,4,36124485,0.0055364,0.0110728,0.0000000,12886.57," 465,520,529,454 "
Iran,1/01/1976,Montreal,0,1,1,3,33788867,0.0059191,0.0088787,0.0000000,11710.25," 395,675,987,038 "
Mexico,1/01/1976,Montreal,1,0,1,4,61969362,0.0032274,0.0064548,0.0016137,7630.74," 472,871,985,991 "
Thailand,1/01/1976,Montreal,0,0,1,1,43453204,0.0023013,0.0023013,0.0000000,1823.50," 79,236,703,353 "
Brazil,1/01/1976,Montreal,0,0,2,2,110804816,0.0018050,0.0018050,0.0000000,6500.65," 720,303,315,923 "
Pakistan,1/01/1976,Montreal,0,0,1,1,70632133,0.0014158,0.0014158,0.0000000,1156.11," 81,658,863,642 "
East Germany,1/01/1980,Moscow,47,37,42,257,-,-,-,-,-, - 
Bulgaria,1/01/1980,Moscow,8,16,17,73,8861536,0.4626737,0.8237850,0.0902778,7802.85," 69,145,198,943 "
Hungary,1/01/1980,Moscow,7,10,15,56,10698534,0.2991064,0.5234362,0.0654295,12018.55," 128,580,916,619 "
Cuba,1/01/1980,Moscow,8,7,5,43,9812223,0.2038274,0.4382289,0.0815310,6695.01," 65,692,958,052 "
Mongolia,1/01/1980,Moscow,0,2,2,6,1693122,0.2362500,0.3543749,0.0000000,1800.00," 3,047,617,768 "
Finland,1/01/1980,Moscow,3,1,4,15,4779488,0.1673819,0.3138411,0.0627682,17796.77," 85,059,461,743 "
Sweden,1/01/1980,Moscow,3,3,6,21,8310467,0.1443962,0.2526934,0.0360991,21179.39," 176,010,626,367 "
Denmark,1/01/1980,Moscow,2,1,2,10,5123026,0.0975986,0.1951971,0.0390394,20529.08," 105,171,000,583 "
Romania,1/01/1980,Moscow,6,6,13,43,22201389,0.1126056,0.1936816,0.0270253,9755.08," 216,576,358,937 "
Soviet Union,1/01/1980,Moscow,80,69,46,424,265935636,0.0733260,0.1594371,0.0300825,-, - 
Poland,1/01/1980,Moscow,3,14,15,52,35577214,0.0899452,0.1461610,0.0084324,9173.32," 326,361,227,328 "
Jamaica,1/01/1980,Moscow,0,0,3,3,2132390,0.1406872,0.1406872,0.0000000,6015.19," 12,826,732,843 "
Czechoslovakia,1/01/1980,Moscow,2,3,9,21,15254684,0.0917751,0.1376626,0.0131107,-, - 
Guyana,1/01/1980,Moscow,0,0,1,1,776856,0.1287240,0.1287240,0.0000000,2653.79," 2,061,609,980 "
Austria,1/01/1980,Moscow,1,2,1,8,7548798,0.0529886,0.1059771,0.0132471,21284.71," 160,673,963,676 "
Australia,1/01/1980,Moscow,2,2,5,15,14709918,0.0611832,0.1019720,0.0135963,19505.55," 286,925,107,462 "
Switzerland,1/01/1980,Moscow,2,0,0,6,6303346,0.0317292,0.0951875,0.0317292,28732.37," 181,110,044,830 "
Ireland,1/01/1980,Moscow,0,1,1,3,3417798,0.0585172,0.0877758,0.0000000,12217.02," 41,755,317,617 "
Yugoslavia,1/01/1980,Moscow,2,3,4,16,21615000,0.0416378,0.0740227,0.0092528,-, - 
Britain,1/01/1980,Moscow,5,7,9,38,56303011,0.0372982,0.0674919,0.0088805,18199.83," 1,024,705,481,841 "
Italy,1/01/1980,Moscow,8,3,4,34,56221171,0.0266803,0.0604754,0.0142295,16201.88," 910,888,833,454 "
France,1/01/1980,Moscow,6,5,3,31,53880143,0.0259836,0.0575351,0.0111358,20334.47," 1,095,624,073,466 "
Greece,1/01/1980,Moscow,1,0,2,5,9642504,0.0311123,0.0518538,0.0103708,14877.19," 143,453,379,160 "
North Korea,1/01/1980,Moscow,0,3,2,8,17239340,0.0290034,0.0464055,0.0000000,3372.76," 58,144,184,490 "
Zimbabwe,1/01/1980,Moscow,1,0,0,3,7289463,0.0137184,0.0411553,0.0137184,727.55," 5,303,415,564 "
Lebanon,1/01/1980,Moscow,0,0,1,1,2794638,0.0357828,0.0357828,0.0000000,8532.76," 23,845,974,156 "
Belgium,1/01/1980,Moscow,1,0,0,3,9847297,0.0101551,0.0304652,0.0101551,20969.62," 206,494,106,725 "
Spain,1/01/1980,Moscow,1,3,2,11,37495321,0.0160020,0.0293370,0.0026670,13790.56," 517,081,494,537 "
Netherlands,1/01/1980,Moscow,0,1,2,4,14088274,0.0212943,0.0283924,0.0000000,20372.21," 287,009,256,167 "
Ethiopia,1/01/1980,Moscow,2,0,2,8,35426282,0.0112911,0.0225821,0.0056455,588.38," 20,844,082,382 "
Tanzania,1/01/1980,Moscow,0,2,0,4,18685789,0.0107033,0.0214066,0.0000000,925.32," 17,290,343,776 "
Uganda,1/01/1980,Moscow,0,1,0,2,12662131,0.0078976,0.0157951,0.0000000,638.77," 8,088,167,935 "
Venezuela,1/01/1980,Moscow,0,1,0,2,15036273,0.0066506,0.0133012,0.0000000,12124.54," 182,307,839,028 "
Mexico,1/01/1980,Moscow,0,1,3,5,68776411,0.0058159,0.0072699,0.0000000,9319.56," 640,966,180,041 "
Brazil,1/01/1980,Moscow,2,0,2,8,121711864,0.0032865,0.0065729,0.0016432,7623.18," 927,831,953,628 "
India,1/01/1980,Moscow,1,0,0,3,700058589,0.0001428,0.0004285,0.0001428,843.57," 590,551,326,762 "
West Germany,1/01/1984,Los Angeles,17,19,23,112,-,-,-,-,-, - 
New Zealand,1/01/1984,Los Angeles,8,1,2,28,3243586,0.3391308,0.8632421,0.2466406,18612.88," 60,372,470,140 "
Romania,1/01/1984,Los Angeles,20,16,17,109,22622239,0.2342827,0.4818268,0.0884086,9855.45," 222,952,252,028 "
Finland,1/01/1984,Los Angeles,4,2,6,22,4879235,0.2459402,0.4508904,0.0819801,19387.97," 94,598,466,563 "
Iceland,1/01/1984,Los Angeles,0,0,1,1,238641,0.4190395,0.4190395,0.0000000,23215.83," 5,540,249,996 "
Sweden,1/01/1984,Los Angeles,2,11,6,34,8333446,0.2279969,0.4079945,0.0239997,22838.69," 190,324,960,978 "
Canada,1/01/1984,Los Angeles,10,18,16,82,25538860,0.1722865,0.3210793,0.0391560,24431.85," 623,961,567,935 "
Australia,1/01/1984,Los Angeles,4,8,12,40,15567927,0.1541631,0.2569385,0.0256939,20295.25," 315,955,016,143 "
Switzerland,1/01/1984,Los Angeles,0,4,4,12,6415987,0.1246885,0.1870328,0.0000000,29128.19," 186,886,081,679 "
Jamaica,1/01/1984,Los Angeles,0,1,2,4,2270069,0.1321546,0.1762061,0.0000000,6116.87," 13,885,709,689 "
Denmark,1/01/1984,Los Angeles,0,3,3,9,5115476,0.1172911,0.1759367,0.0000000,22601.41," 115,616,970,461 "
Netherlands,1/01/1984,Los Angeles,5,2,6,25,14378740,0.0904113,0.1738678,0.0347736,20861.01," 299,955,081,802 "
United States,1/01/1984,Los Angeles,83,61,30,401,238794274,0.0728661,0.1679270,0.0347580,29785.25," 7,112,548,150,641 "
Yugoslavia,1/01/1984,Los Angeles,7,4,7,36,22086851,0.0814965,0.1629929,0.0316931,-, - 
Italy,1/01/1984,Los Angeles,14,6,12,66,56709575,0.0564279,0.1163825,0.0246872,17530.69," 994,158,199,846 "
Britain,1/01/1984,Los Angeles,5,11,21,58,56436762,0.0655601,0.1027699,0.0088595,19309.67," 1,089,774,996,016 "
Norway,1/01/1984,Los Angeles,0,1,2,4,4138150,0.0724962,0.0966616,0.0000000,27548.87," 114,001,347,915 "
South Korea,1/01/1984,Los Angeles,6,6,7,37,39920981,0.0475940,0.0926831,0.0150297,5803.80," 231,693,378,455 "
Puerto Rico,1/01/1984,Los Angeles,0,1,1,3,3347316,0.0597494,0.0896240,0.0000000,10902.91," 36,495,498,625 "
France,1/01/1984,Los Angeles,5,7,16,45,54988578,0.0509197,0.0818352,0.0090928,21488.65," 1,181,630,078,711 "
Austria,1/01/1984,Los Angeles,1,1,1,6,7550960,0.0397300,0.0794601,0.0132433,22336.95," 168,665,387,244 "
Belgium,1/01/1984,Los Angeles,1,1,2,7,9835279,0.0406699,0.0711724,0.0101675,21498.94," 211,448,053,577 "
Ireland,1/01/1984,Los Angeles,0,1,0,2,3523059,0.0283844,0.0567688,0.0000000,12953.44," 45,635,730,635 "
Japan,1/01/1984,Los Angeles,10,8,14,60,119320901,0.0268184,0.0502846,0.0083808,20339.95," 2,426,981,475,834 "
Portugal,1/01/1984,Los Angeles,1,0,2,5,9955005,0.0301356,0.0502260,0.0100452,11482.99," 114,313,185,431 "
Greece,1/01/1984,Los Angeles,0,1,1,3,9892518,0.0202173,0.0303259,0.0000000,15123.24," 149,606,883,991 "
Algeria,1/01/1984,Los Angeles,0,2,2,6,21433070,0.0186627,0.0279941,0.0000000,5986.54," 128,309,974,554 "
Morocco,1/01/1984,Los Angeles,2,0,0,6,21747150,0.0091966,0.0275898,0.0091966,2655.21," 57,743,160,221 "
Kenya,1/01/1984,Los Angeles,1,0,2,5,18937969,0.0158412,0.0264020,0.0052804,1279.51," 24,231,386,622 "
Spain,1/01/1984,Los Angeles,1,2,2,9,38339878,0.0130413,0.0234743,0.0026083,14342.73," 549,898,530,392 "
Ivory Coast,1/01/1984,Los Angeles,0,1,0,2,10089976,0.0099108,0.0198217,0.0000000,2250.26," 22,705,118,026 "
Syria,1/01/1984,Los Angeles,0,1,0,2,10230958,0.0097743,0.0195485,0.0000000,3518.22," 35,994,743,847 "
Venezuela,1/01/1984,Los Angeles,0,0,3,3,16813481,0.0178428,0.0178428,0.0000000,9500.52," 159,736,741,979 "
Mexico,1/01/1984,Los Angeles,2,3,1,13,74673296,0.0080350,0.0174092,0.0026783,9177.23," 685,294,362,044 "
Dominican Republic,1/01/1984,Los Angeles,0,0,1,1,6341950,0.0157680,0.0157680,0.0000000,2865.09," 18,170,248,131 "
Zambia,1/01/1984,Los Angeles,0,0,1,1,6575403,0.0152082,0.0152082,0.0000000,1279.20," 8,411,247,401 "
Brazil,1/01/1984,Los Angeles,1,5,2,15,133380123,0.0059979,0.0112461,0.0007497,6890.25," 919,022,859,594 "
Peru,1/01/1984,Los Angeles,0,1,0,2,19020616,0.0052575,0.0105149,0.0000000,5578.50," 106,106,444,398 "
Cameroon,1/01/1984,Los Angeles,0,0,1,1,10218016,0.0097866,0.0097866,0.0000000,2575.35," 26,314,962,038 "
Colombia,1/01/1984,Los Angeles,0,1,0,2,29359535,0.0034060,0.0068121,0.0000000,4470.55," 131,253,273,301 "
China,1/01/1984,Los Angeles,15,8,9,70,1040397958,0.0030757,0.0067282,0.0014418,1229.08," 1,278,727,499,972 "
Turkey,1/01/1984,Los Angeles,0,0,3,3,48360679,0.0062034,0.0062034,0.0000000,4784.95," 231,403,424,224 "
Taiwan,1/01/1984,Los Angeles,0,0,1,1,19083000,0.0052403,0.0052403,0.0000000,9352.64," 178,476,389,993 "
Egypt,1/01/1984,Los Angeles,0,1,0,2,49453054,0.0020221,0.0040442,0.0000000,3767.06," 186,292,832,697 "
Thailand,1/01/1984,Los Angeles,0,1,0,2,51346204,0.0019476,0.0038951,0.0000000,2581.97," 132,574,597,450 "
Nigeria,1/01/1984,Los Angeles,0,1,1,3,83691577,0.0023897,0.0035846,0.0000000,1358.55," 113,699,409,127 "
Pakistan,1/01/1984,Los Angeles,1,0,0,3,92300277,0.0010834,0.0032503,0.0010834,1519.11," 140,213,875,342 "
East Germany,1/01/1988,Seoul,37,35,30,211,-,-,-,-,-, - 
West Germany,1/01/1988,Seoul,11,14,15,76,-,-,-,-,-, - 
Virgin Islands,1/01/1988,Seoul,0,1,0,2,103761,0.9637532,1.9275065,0.0000000,-, - 
Netherlands Antilles,1/01/1988,Seoul,0,1,0,2,187596,0.5330604,1.0661208,0.0000000,17486.37," 3,280,372,180 "
Suriname,1/01/1988,Seoul,1,0,0,3,393605,0.2540618,0.7621854,0.2540618,5930.97," 2,334,459,695 "
Bulgaria,1/01/1988,Seoul,10,12,13,67,8917563,0.3924839,0.7513263,0.1121383,8179.01," 72,936,841,780 "
New Zealand,1/01/1988,Seoul,3,2,8,21,3332798,0.3900626,0.6301012,0.0900145,18874.65," 62,905,403,497 "
Hungary,1/01/1988,Seoul,11,6,6,51,10429422,0.2205300,0.4890012,0.1054708,13399.30," 139,746,986,562 "
Norway,1/01/1988,Seoul,2,3,0,12,4202325,0.1189818,0.2855562,0.0475927,30359.21," 127,579,266,517 "
Romania,1/01/1988,Seoul,7,11,6,49,23096515,0.1039118,0.2121532,0.0303076,9637.16," 222,584,834,224 "
Djibouti,1/01/1988,Seoul,0,0,1,1,500876,0.1996502,0.1996502,0.0000000,2742.92," 1,373,864,466 "
Sweden,1/01/1988,Seoul,0,4,7,15,8456561,0.1300765,0.1773771,0.0000000,24571.79," 207,792,812,154 "
Denmark,1/01/1988,Seoul,2,1,1,9,5122098,0.0780930,0.1757093,0.0390465,24831.14," 127,187,556,712 "
Jamaica,1/01/1988,Seoul,0,2,0,4,2341957,0.0853987,0.1707973,0.0000000,6524.14," 15,279,245,943 "
South Korea,1/01/1988,Seoul,12,10,11,67,42089874,0.0784037,0.1591832,0.0285104,8440.73," 355,269,385,284 "
Australia,1/01/1988,Seoul,3,6,5,26,16596096,0.0843572,0.1566634,0.0180765,22508.19," 373,548,095,046 "
Finland,1/01/1988,Seoul,1,1,2,7,4951685,0.0807806,0.1413660,0.0201951,22110.88," 109,486,136,090 "
Czechoslovakia,1/01/1988,Seoul,3,3,2,17,15537004,0.0514900,0.1094162,0.0193087,-, - 
Netherlands,1/01/1988,Seoul,2,2,5,15,14701901,0.0612166,0.1020276,0.0136037,23032.60," 338,622,946,885 "
Yugoslavia,1/01/1988,Seoul,3,4,5,22,22536381,0.0532472,0.0976199,0.0133118,-, - 
Kenya,1/01/1988,Seoul,5,2,2,21,21894026,0.0411071,0.0959166,0.0228373,1396.42," 30,573,306,936 "
Soviet Union,1/01/1988,Seoul,55,31,46,273,285120160,0.0462963,0.0957491,0.0192901,-, - 
Switzerland,1/01/1988,Seoul,0,2,2,6,6571061,0.0608730,0.0913095,0.0000000,30971.59," 203,516,195,581 "
United States,1/01/1988,Seoul,36,31,27,197,248381577,0.0378450,0.0793135,0.0144938,32860.52," 8,161,947,702,142 "
Britain,1/01/1988,Seoul,5,10,9,44,56902081,0.0421777,0.0773258,0.0087870,22673.28," 1,290,156,577,669 "
Costa Rica,1/01/1988,Seoul,0,1,0,2,2916566,0.0342869,0.0685738,0.0000000,5668.47," 16,532,456,688 "
Canada,1/01/1988,Seoul,3,2,5,18,26943398,0.0371148,0.0668067,0.0111345,27562.41," 742,625,104,798 "
Poland,1/01/1988,Seoul,2,5,9,25,37797656,0.0423307,0.0661417,0.0052913,9252.06," 349,706,193,636 "
France,1/01/1988,Seoul,6,4,6,32,56162822,0.0284886,0.0569772,0.0106832,23523.51," 1,321,146,877,192 "
Italy,1/01/1988,Seoul,6,4,4,30,56824700,0.0246372,0.0527939,0.0105588,20293.85," 1,153,191,989,649 "
Mongolia,1/01/1988,Seoul,0,0,1,1,2096653,0.0476951,0.0476951,0.0000000,2391.14," 5,013,395,333 "
Austria,1/01/1988,Seoul,1,0,0,3,7605095,0.0131491,0.0394472,0.0131491,24371.18," 185,345,121,595 "
Portugal,1/01/1988,Seoul,1,0,0,3,9930001,0.0100705,0.0302115,0.0100705,14008.38," 139,103,241,217 "
Senegal,1/01/1988,Seoul,0,1,0,2,6818495,0.0146660,0.0293320,0.0000000,1470.26," 10,024,988,054 "
Morocco,1/01/1988,Seoul,1,0,2,5,23827539,0.0125905,0.0209841,0.0041968,2963.85," 70,621,337,151 "
Japan,1/01/1988,Seoul,4,3,7,25,121434677,0.0115288,0.0205872,0.0032940,23661.04," 2,873,270,330,088 "
Belgium,1/01/1988,Seoul,0,0,2,2,9895654,0.0202109,0.0202109,0.0000000,23555.82," 233,100,245,429 "
Spain,1/01/1988,Seoul,1,1,2,7,38745231,0.0103239,0.0180667,0.0025810,16553.14," 641,355,397,328 "
Chile,1/01/1988,Seoul,0,1,0,2,12733409,0.0078534,0.0157067,0.0000000,5850.79," 74,500,446,050 "
Greece,1/01/1988,Seoul,0,0,1,1,10045020,0.0099552,0.0099552,0.0000000,16414.35," 164,882,507,828 "
Peru,1/01/1988,Seoul,0,1,0,2,20797983,0.0048082,0.0096163,0.0000000,5714.65," 118,853,292,933 "
Turkey,1/01/1988,Seoul,1,1,0,5,52278499,0.0038257,0.0095642,0.0019128,5502.70," 287,672,907,878 "
Argentina,1/01/1988,Seoul,0,1,1,3,31729130,0.0063034,0.0094550,0.0000000,8845.59," 280,662,920,840 "
Brazil,1/01/1988,Seoul,1,2,3,10,144470377,0.0041531,0.0069218,0.0006922,7657.32," 1,106,256,461,802 "
China,1/01/1988,Seoul,5,11,12,49,1110339206,0.0025218,0.0044131,0.0004503,1611.38," 1,789,173,403,996 "
Iran,1/01/1988,Seoul,0,1,0,2,51810746,0.0019301,0.0038602,0.0000000,5892.14," 305,276,345,166 "
Colombia,1/01/1988,Seoul,0,0,1,1,31913250,0.0031335,0.0031335,0.0000000,5046.81," 161,060,195,525 "
Mexico,1/01/1988,Seoul,0,0,2,2,81010093,0.0024688,0.0024688,0.0000000,8628.26," 698,975,921,029 "
Thailand,1/01/1988,Seoul,0,0,1,1,55370526,0.0018060,0.0018060,0.0000000,3330.33," 184,402,273,611 "
Philippines,1/01/1988,Seoul,0,0,1,1,58572071,0.0017073,0.0017073,0.0000000,2285.43," 133,862,588,607 "
Indonesia,1/01/1988,Seoul,0,1,0,2,178006800,0.0005618,0.0011236,0.0000000,1821.98," 324,325,148,280 "
Pakistan,1/01/1988,Seoul,0,0,1,1,105332464,0.0009494,0.0009494,0.0000000,1760.85," 185,474,591,108 "
Independent Participants,1/01/1992,Barcelona,0,1,2,4,-,-,-,-,-, - 
Hungary,1/01/1992,Barcelona,11,12,7,64,10352695,0.2897796,0.6181965,0.1062525,10535.63," 109,072,149,028 "
Cuba,1/01/1992,Barcelona,14,6,11,65,10727088,0.2889880,0.6059426,0.1305107,5592.84," 59,994,929,366 "
New Zealand,1/01/1992,Barcelona,1,4,5,16,3503125,0.2854594,0.4567351,0.0285459,18363.32," 64,329,022,674 "
Bahamas,1/01/1992,Barcelona,0,0,1,1,265761,0.3762779,0.3762779,0.0000000,19432.57," 5,164,419,053 "
Bulgaria,1/01/1992,Barcelona,3,7,6,29,8651284,0.1849436,0.3352104,0.0346769,6302.62," 54,525,785,310 "
Jamaica,1/01/1992,Barcelona,0,3,1,7,2398249,0.1667884,0.2918796,0.0000000,7404.92," 17,758,850,823 "
Australia,1/01/1992,Barcelona,7,9,11,50,17529469,0.1540263,0.2852340,0.0399328,23424.77," 410,623,723,894 "
Namibia,1/01/1992,Barcelona,0,2,0,4,1512524,0.1322293,0.2644586,0.0000000,3804.54," 5,754,455,033 "
Estonia,1/01/1992,Barcelona,1,0,1,4,1527660,0.1309192,0.2618384,0.0654596,8245.73," 12,596,674,695 "
Sweden,1/01/1992,Barcelona,1,7,4,21,8678657,0.1382702,0.2419729,0.0115225,24343.14," 211,265,772,818 "
Suriname,1/01/1992,Barcelona,0,0,1,1,418828,0.2387615,0.2387615,0.0000000,5974.26," 2,502,188,891 "
Germany,1/01/1992,Barcelona,33,21,28,169,80282985,0.1021387,0.2105054,0.0411046,26505.30," 2,127,924,856,633 "
Qatar,1/01/1992,Barcelona,0,0,1,1,488204,0.2048324,0.2048324,0.0000000,41781.68," 20,397,981,080 "
Latvia,1/01/1992,Barcelona,0,2,1,5,2612722,0.1148228,0.1913713,0.0000000,6151.51," 16,072,198,478 "
Finland,1/01/1992,Barcelona,1,2,2,9,5034766,0.0993095,0.1787571,0.0198619,20647.16," 103,953,644,275 "
Denmark,1/01/1992,Barcelona,1,1,4,9,5172040,0.1160084,0.1740126,0.0193347,25956.19," 134,246,435,718 "
Netherlands,1/01/1992,Barcelona,2,6,7,25,15102709,0.0993199,0.1655332,0.0132427,25713.88," 388,349,273,439 "
Ireland,1/01/1992,Barcelona,1,1,0,5,3549302,0.0563491,0.1408728,0.0281746,17558.82," 62,321,539,139 "
Spain,1/01/1992,Barcelona,13,7,2,55,39086335,0.0562857,0.1407141,0.0332597,18603.06," 727,125,611,664 "
Romania,1/01/1992,Barcelona,4,6,8,32,23077600,0.0779977,0.1386626,0.0173328,6598.41," 152,275,464,371 "
South Korea,1/01/1992,Barcelona,12,5,12,58,43729283,0.0663171,0.1326342,0.0274416,11145.53," 487,386,010,973 "
Canada,1/01/1992,Barcelona,7,4,7,36,28386162,0.0634112,0.1268224,0.0246599,26342.88," 747,773,380,088 "
Czechoslovakia,1/01/1992,Barcelona,4,2,1,17,15618590,0.0448184,0.1088447,0.0256105,-, - 
Lithuania,1/01/1992,Barcelona,1,0,1,4,3689943,0.0542014,0.1084028,0.0271007,9743.51," 35,952,999,245 "
Slovenia,1/01/1992,Barcelona,0,0,2,2,1943919,0.1028849,0.1028849,0.0000000,14214.72," 27,632,258,078 "
Mongolia,1/01/1992,Barcelona,0,0,2,2,2251861,0.0888154,0.0888154,0.0000000,1785.40," 4,020,477,170 "
France,1/01/1992,Barcelona,8,5,16,50,57189616,0.0507085,0.0874285,0.0139886,25140.92," 1,437,799,421,154 "
Croatia,1/01/1992,Barcelona,0,1,2,4,4588173,0.0653855,0.0871807,0.0000000,8447.79," 38,759,944,347 "
United States,1/01/1992,Barcelona,37,34,37,216,258275919,0.0418157,0.0836315,0.0143258,33589.59," 8,675,383,332,010 "
Former Soviet Union,1/01/1992,Barcelona,45,38,29,240,291118372,0.0384723,0.0824407,0.0154576,-, - 
North Korea,1/01/1992,Barcelona,4,0,5,17,20804249,0.0432604,0.0817141,0.0192268,3060.58," 63,672,970,667 "
Poland,1/01/1992,Barcelona,3,6,10,31,38247716,0.0496762,0.0810506,0.0078436,7738.88," 295,994,532,086 "
Kenya,1/01/1992,Barcelona,2,4,2,16,25042330,0.0319459,0.0638918,0.0079865,1341.92," 33,604,846,569 "
Italy,1/01/1992,Barcelona,6,5,8,36,56895154,0.0333948,0.0632743,0.0105457,22013.64," 1,252,469,714,474 "
Israel,1/01/1992,Barcelona,0,1,1,3,4807603,0.0416008,0.0624012,0.0000000,18051.52," 86,784,553,897 "
Greece,1/01/1992,Barcelona,2,0,0,6,10351229,0.0193214,0.0579641,0.0193214,17213.67," 178,182,608,944 "
Britain,1/01/1992,Barcelona,5,3,12,33,57525459,0.0347672,0.0573659,0.0086918,22705.09," 1,306,120,869,794 "
Austria,1/01/1992,Barcelona,0,2,0,4,7778255,0.0257127,0.0514254,0.0000000,27042.02," 210,339,717,004 "
Switzerland,1/01/1992,Barcelona,1,0,0,3,6814701,0.0146742,0.0440225,0.0146742,31871.53," 217,194,949,394 "
Belgium,1/01/1992,Barcelona,0,1,2,4,10004469,0.0299866,0.0399821,0.0000000,25575.57," 255,870,004,129 "
Norway,1/01/1992,Barcelona,2,4,1,15,43729283,0.0160076,0.0343020,0.0045736,33135.04," 1,448,971,375,944 "
Japan,1/01/1992,Barcelona,3,8,11,36,123177552,0.0178604,0.0292261,0.0024355,26824.90," 3,304,224,912,723 "
Puerto Rico,1/01/1992,Barcelona,0,0,1,1,3597861,0.0277943,0.0277943,0.0000000,14641.59," 52,678,395,229 "
Morocco,1/01/1992,Barcelona,1,1,1,6,25679802,0.0116823,0.0233647,0.0038941,2948.05," 75,705,269,719 "
Turkey,1/01/1992,Barcelona,2,2,2,12,56012109,0.0107120,0.0214239,0.0035707,5946.29," 333,064,112,021 "
Algeria,1/01/1992,Barcelona,1,0,1,4,26557969,0.0075307,0.0150614,0.0037653,5023.22," 133,406,432,002 "
South Africa,1/01/1992,Barcelona,0,2,0,4,38641823,0.0051757,0.0103515,0.0000000,7225.07," 279,189,847,444 "
